Column,farm.x,sampling.x,test,rep_1,rep_2,total,sample,f,sampling.y,sd_meantempi,sd_meanwindspdi,sd_minhumidity,sd_maxhumidity,sd_humidity,sd_precipi,mean_meantempi,mean_meanwindspdi,mean_minhumidity,mean_maxhumidity,mean_humidity,mean_precipi,mean_precipi_yesno,farmnumber,farm.y,date,time,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,mean_hygiene,stall,cleanliness,ventilation,standing_water,month,sampling,A2_SURVEY_DATE,A3_ARRIVAL.DEPARTURE_TIME,A4_SURVEY_TECHNICIAN,A5_FARM_PERSONNEL_INTERVIEWED,A6_NUMBER_MILKING_COWS,A7_.AV_ANNUAL_PRODUCTION_COW,A8_OFTEN_EACH_COW_MILKED_PER_DAY,B2_AV_BODY_CONDITION,B3_TAILS_DOCKED,tails_docked_edited,B4_UDDERS_CLIPPED.FLAMED,udders_flamed_edited,B5_FEED_TYPE_LACTATING_COWS,C1_GLOVES_DURING_MILKING,C2_AUTO.TEAT_SCRUBBER,C3_PRE.DIP_TYPE,pre_dip_chemical,pre_dip_application,C4_POST.DIP_TYPE,post_dip_chemical,post_dip_application,C5_MASTITIC_COWS_MILKED_LAST.SEPARATELY,mastitic_milked_separately,C6_DO.YOU_STRIP_COWS,D1_HOUSING_TYPE,D3_BEDDING,D5_.FREESTALL.HOUSING._HOW_OFTEN_ALLEYS_SCRAPED.DAY,D6_WATER_SOURCES_USED_AND_WHERE,D7_OFTEN_DAY.WEEK_DRY_LOTS_RAKED,D8_OFTEN_DAY.WEEK_DRY_LOTS_DUG_OUT,D10_VISIBLE_DUST_IN_THE_LAST,D11_RAINED_IN_THE_LAST,E1_PARLOR_DECK_SPRAYED.CLEANED_BETWEEN_MILKING_GROUPS,E2_HOLDING_AREA_CLEANED_DURING_MILKING,holding_area_cleaned_during_milking_edited,E3_COWS_EXPOSED_TO_WATER_PRIOR_TO_MILKING,E4_UDDERS_SPRAYED_PRIOR_TO_MILKING,E5_WATER_USED_TO_COOL_COWS,E6_WATER_USED_TO_CLEAN_COWS,F1_BULK_TANK_CAPACITY,G1_TYPE_OF_TOWEL,type_of_towel_edited,G2_HOW_OFTEN_FILTER_SOCK_CHANGED,X
565,22,6,SP MSC,76,41,58.5,22-6,22,6,0.544893651,4.023453966,10.80235665,13.60347549,15.53739728,0.004045199,68.29090909,6.772727273,42.90909091,89.63636364,68.375,0.001818182,TRUE,22,Farm 22,8/20/2016,1:05am,4,4,4,4,4,3,3,4,4,4,3.8,non-Free,not_applicable,not_applicable,No,8,6,3/16/2016,3:00 pm/no answer,Bailee,Koen Ally,1560,74 lbs/day,2 times,No answer,I; majority,intermediate,I; Flamed,intermediate,corn silage; wheatlage; alfalfa; corn; DDG; canola; cottonseed; molasses w/ mineral package; whey,Y,N,Iodine; Dip application,Iodine,dip,Iodine; Dip application,Iodine,dip,Y; Separately,Y,Y,Dry Lot,N/A,N/A,Well water; aquifer,1,3,0-24h,"""look it up""",I; As neeed,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",None,None,"""text for answer"" ",NA
566,23,6,SP MSC,27,24,25.5,23-6,23,6,1.025670512,5.40629263,14.95994652,19.95745475,26.87005769,0,68.72,8.54,37.6,84.4,49,0,FALSE,23,Farm 23,8/20/2016,2:30am,2,2,3,3,3,4,3,3,3,4,3,non-Free,not_applicable,not_applicable,No,8,6,3/17/2016,10:20 am/ no answer,Bailee,Joe Torres,3400,70 lbs/day,intermediate,Normal,Y,yes,Y; Flamed,yes,corn silage; canola; corn gluten; DDG minerals; corn; cotton seed,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y,Y,N,Dry Lot (open),N/A,N/A,Well water,3.5,8,0-24h,N/A; last October,Y; Manually,Y,Y,Y,Y,N,Y; No answer; No answer; No answer,"24,000 gallons; 3 bulk tanks",Laundered; Yes,Laundered,"Every 2 pens, every 2 hours",NA
567,25,6,SP MSC,14,29,21.5,25-6,25,6,3.129607714,3.142893218,2.223610677,5.651941653,1.048808848,0,67.82222222,8.455555556,44.22222222,92.22222222,68.5,0,FALSE,25,Farm 25,8/20/2016,1:33am,2,2,2,1,2,2,1,2,1,2,1.7,non-Free,not_applicable,not_applicable,No,8,6,3/17/2016,1:40 pm/no answer,Bailee,Mondo Vazquez/Jeremy,3400,73-75 lbs/day,2 times,Normal,N,no,Y; Flamed,yes,corn gluten; corn silage; DDG; triticale; soy hulls; minerals,Y,N,Iodine; Dip application,Iodine,dip,Iodine; Dip application,Iodine,dip,Y,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,N/A,Y; Manually,Y; sprinklers,Y,I,N,N,Y; Sprinklers spray-up; Prior to milking; No drying mechanism,"150,000 lbs; 3 bulk tanks",Laundered; Yes,Laundered,"Every 2 pens, every 1 hr 40 min",NA
568,26,6,SP MSC,11,14,12.5,26-6,26,6,0.544893651,4.023453966,10.80235665,13.60347549,15.53739728,0.004045199,68.29090909,6.772727273,42.90909091,89.63636364,68.375,0.001818182,TRUE,26,Farm 26,8/20/2016,12:45am,3,4,3,2,2,3,2,2,2,3,2.6,non-Free,not_applicable,not_applicable,No,8,6,3/16/2016,2:30 pm/ 2:50,Bailee,Carl Bromlow,5000,"22,000 lbs",intermediate,Normal,I; 50/50,intermediate,Y; Flamed,yes,corn silage; triticale; sorghum silage; corn; sweet bran; beet pulp; canola,Y,Y,Express 3; Lactic Acid; LDBSA; Dip application,Express 3\Lactic Acid\LDBSA,dip,Express 3; Lactic Acid; Chore Mate; Dip Application,Express 3\ Lactic Acid\ Chore Mate,dip,Y,Y,Y,Dry Lot,N/A,N/A,Well water,7,3,0-24h,2 weeks ago,Y; Manually,Y,Y,N,N,N,N,"165,000 lbs; 3 bulk tanks",Laundered; No,Laundered,45 min; every pen,NA
569,27,6,SP MSC,20,20,20,27-6,27,6,0.544893651,4.023453966,10.80235665,13.60347549,15.53739728,0.004045199,68.29090909,6.772727273,42.90909091,89.63636364,68.375,0.001818182,TRUE,27,Farm 27,8/20/2016,12:20am,3,3,4,3,2,2,2,4,3,2,2.8,non-Free,not_applicable,not_applicable,No,8,6,3/17/2016,12:10 pm/ no answer,Bailee,Georgianna Carroll,2349,71.5 lbs/day,3 times,Normal,I,intermediate,Y; Flamed,yes,"corn; corn gluten; canola, cotton seed; DDG; alfalfa; corn silage; wheat silage",Y,N,Iodine; Spray application,Iodine,spray,Iodine; Spray application,Iodine,spray,Y; Separately,Y,Y,Dry Lot,N/A,N/A,Well water,7,6,0-24h,N/A,Y; Manually,Y,Y,N,N,N,N,"108,000 lbs; 2 bulk tanks",Laundered; No,Laundered,45 min; every pen,NA
570,28,6,SP MSC,17,34,25.5,28-6,28,6,2.569565463,4.644423179,14.71960144,17.96292478,31.11269837,0.004472136,69.66666667,8.166666667,40.66666667,85.66666667,52,0.002,TRUE,28,Farm 28,8/20/2016,3:15am,4,3,3,3,3,4,2,4,2,3,3.1,non-Free,not_applicable,not_applicable,No,8,6,3/17/2016,3:00/no answer,Bailee,Zachary Vanderham,4200,73 lbs,2 times,Normal,N,no,Y; Flamed,yes,alfalfa silage; corn silage; wheat silage; corn; cotton seed; canola; DDG; soy bean mill; soy hulls; wheat straw; energy; minerals,Y,N,Peroxide; Dip application,Peroxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,N/A,0-24h,No answer,Y; Manually,Y,Y,N,Y,N,Y; Sprinklers spray-up; Prior to milking; No drying mechanism,"21,000 gallons; 3 bulk tanks",Laundered; No,Laundered,Every 2 hours,NA
571,29,6,SP MSC,19,19,19,29-6,29,6,2.569565463,4.644423179,14.71960144,17.96292478,31.11269837,0.004472136,69.66666667,8.166666667,40.66666667,85.66666667,52,0.002,TRUE,29,Farm 29,8/20/2016,3:38am,4,3,3,2,4,4,4,3,2,3,3.2,non-Free,not_applicable,not_applicable,No,8,6,3/17/2016,3:00/no answer,Bailee,Zachary Vanderham,1800,73 lbs,2 times,Normal,N,no,Y; Flamed,yes,alfalfa; corn silage; wheat silage; corn; cotton seed; canola; DDG; soy bean mill; soy hulls; wheat straw; energy minerals,Y,N,Peroxide; Dip application,Peroxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,N/A,0-24h,No answer,Y; Manually,Y,Y,N,Y,N,Y; Sprinklers spray-up; Prior to milking; No drying mechanism,"21,000 gallons; 3 bulk tanks",Laundered; No,Laundered,Every 2 hours,NA
572,1,6,SP TSC,8,7,7.5,6-Jan,1,6,1.299527579,1.15203862,18.19919027,14.05274109,17.46615775,0.600041422,77.71052632,1.094736842,60.10526316,93.42105263,79.93333333,0.290526316,TRUE,1,Farm 01,8/21/2016,8:48am,1,1,1,1,1,1,1,1,1,1,1,non-Free,not_applicable,not_applicable,not_applicable,8,6,3/19/2016,1:20/no answer,Bailee,Scott Optiz,96,66 lbs/day,2 times,Normal,N,no,N,no,burmuda grass silage; canola; distiller screens; beet pulp; hominy; wet brewers grains; mineral mix - blood mill,Y,N,Iodine; Dip application,Iodine,dip,Iodine; Dip application,Iodine,dip,N,N,No answer,Other: pasture,N/A,N/A,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"12,000 gallons; 2 bulk tanks",Laundered; No,Laundered,"Once a milking, every 5 hours",NA
573,2,6,SP TSC,6,3,4.5,6-Feb,2,6,1.02420701,2.12678683,8.781925883,5.01220732,4.915960401,0.059104427,77.67,2.01,60.3,96.3,84.16666667,0.024,TRUE,2,Farm 02,8/21/2016,10:35am,4,4,4,3,3,2,2,3,4,4,3.3,Free,Good,Good,not_applicable,8,6,3/19/2016,4:00/no answer,Bailee,Auke Plantiga,800,77 lbs/day,2 times,Normal,N,no,N,no,corn silage; rye silage; alfalfa; corn; soy bean mill; corn gluten; hominy; cotten seed,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y; Separately,Y,No answer,Freestall,Sand,2 times/day or more often,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"12,000 gallons; 2 bulk tanks",Laundered; No,Laundered,"Once a milking, every 5 hours",NA
574,4,6,SP TSC,3,3,3,6-Apr,4,6,1.365318731,1.232882801,10.50985932,2.669046557,5.344495894,0.334433423,77.21333333,1,69.8,97.13333333,87.81818182,0.272,TRUE,4,Farm 04,8/21/2016,11:15am,4,3,2,2,2,2,3,3,2,3,2.6,Free,Good,Good,not_applicable,8,6,3/19/2016,3:00/no answer,Bailee,Nico DeBoer,1550,no answer,2 times,Normal,I; Clipswitch,intermediate,Y; Flamed,yes,alfalfa; corn silage; corn; DDG; flaxseed; soy bean mill,Y,N,Iodine; Other: Foam application,Iodine,foam,2-Bromo 2-Nitropropane; Other: Foam application,2-Bromo 2-Nitropropane,foam,Y; Last,Y,No answer,Freestall,Sand,2 times/day or more often,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"20,000 gallons; 3 bulk tanks",Laundered; No,Laundered,"Every group, every 2-3 hours",NA
575,6,6,SP TSC,1,1,1,6-Jun,6,6,2.221924249,1.597827472,13.46144592,5.260328187,7.882470002,0.005231484,80.23,2.24,44.5,94.75,73.5,0.002,TRUE,6,Farm 06,8/21/2016,6:15am,3,3,2,2,2,2,3,3,3,3,2.6,Free,Good,Good,not_applicable,8,6,3/19/2016,9:45/no answer,Bailee,Heath Hogan,251,82 lbs/day,2 times,Normal,N,no,N,no,green chop; corn silage; alfalfa; coastal; wet cotton seed; hull; corn; hominy; brewer's grain; canola; mineral package; ammoniated gas hay,I,N,Peroxide; Dip application,Peroxide,dip,Iodine; Dip application,Iodine,dip,Y; Last,Y,No answer,Freestall,Sand,1 time/day; Flushed 3 times,Well water,N/A,N/A,0-24h,N/A,I; Between 3 daily milkings; Manually,N,N,N,N,N,N,6000 gallons; 2 bulk tanks,Laundered; Yes,Laundered,"Once a milking, every 4 hours",NA
576,7,6,SP TSC,4,5,4.5,6-Jul,7,6,2.221924249,1.597827472,13.46144592,5.260328187,7.882470002,0.005231484,80.23,2.24,44.5,94.75,73.5,0.002,TRUE,7,Farm 07,8/21/2016,6:45am,4,4,4,4,4,4,4,4,4,4,4,Free,Good,Good,not_applicable,8,6,3/19/2016,9:00/no answer,Bailee,Ronnie West,380,57 lbs/day,2 times,Normal,N,no,N,no,soy bean mill; cotton seed hull; corn; corn silage; wheat silage; brewers grain; mineral concentrate,I,N,Iodine; Spray application,Iodine,spray,Iodine; Spray application,Iodine,spray,N; get rid of them,N,No answer,Freestall,Sand,1 time/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,2750 lbs; 1 bulk tank,Paper; No,Paper,Every 6 hours,NA
577,9,6,SP TSC,11,13,12,6-Sep,9,6,1.883613548,4.677784376,7.816648898,13.06011741,7.071067812,0.237606117,80.1,7.116666667,29.5,87.16666667,62,0.178333333,TRUE,9,Farm 09,8/19/2016,6:05pm,4,4,4,4,4,4,4,4,4,4,4,Free,Good,Good,not_applicable,8,6,3/16/2016,9:15 am/10:06 am,Bailee,Arjan Van Dasselaar,1280,"22,000 lbs",2 times,Normal,N,no,N,no,alfalfa; canola; distillers corn; soy hull pallets; corn silage,Y,N,Prep & wash lactic acid; Ultimate P.D. concentration; Cynergy hepatonic acid; Dip application,Prep & wash lactic acid\Ultimate P.D. concentration\Cynergy hepatonic acid,dip,Aztec Gold lactic acid; Sodium Chlorite; Dip application,Aztec Gold lactic acid\Sodium Chlorite,dip,Y,Y,N,Freestall; Dry lot (exercise yard),Sand,2 times/day or more often,Well water,3,1,0-24h,>72h,Y; Manually,N,N,N,N,N,N,"100,000 lbs; 2 bulk trucks",Laundered; no answer,Laundered,Every 3 hours; Halfway through milking,NA
578,10,6,SP TSC,6,1,3.5,6-Oct,10,6,0.577350269,1.632993162,1.707825128,6.701989754,NA,0,72.5,9,50.25,94.75,NA,0,FALSE,10,Farm 10,8/20/2016,1:46pm,3,2,2,2,2,2,2,1,1,1,1.8,non-Free,not_applicable,not_applicable,No,8,6,3/18/2016,10:00 am/no answer,Bailee,Tom Ferria,1800,60 lbs/day,intermediate,Normal,N,no,Y; Flamed,yes,corn silage; cotton seed; corn; soy bean mill; corn gluten; alfalfa,Y,Y,Chlorine dioxide; Spray application,Chlorine dioxide,spray,Remain Gold Bronopol; Dip application,Remain Gold Bronopol,dip,Y; Separately,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,No answer,Y; Manually,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",Paper; No,Paper,"Every pen, 45 minutes",NA
579,11,6,SP TSC,5,6,5.5,6-Nov,11,6,0.577350269,1.632993162,1.707825128,6.701989754,NA,0,72.5,9,50.25,94.75,NA,0,FALSE,11,Farm 11,8/20/2016,2:30pm,4,4,3,2,2,2,1,2,2,2,2.4,non-Free,not_applicable,not_applicable,No,8,6,3/18/2016,11:45/no answer,Bailee,Tom Ferria,1800,60 lbs/day,intermediate,Normal,N,no,Y; Flamed,yes,corn silage; cotton seed; corn; soy bean mill; corn gluten; alfalfa,Y,N,Chlorine dioxide; Spray application,Chlorine dioxide,spray,Iodine; Other: Foam application,Iodine,foam,Y; Separately,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,No answer,Y; Manually,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",Paper; No,Paper,"Every pen, 45 minutes",NA
580,12,6,SP TSC,3,6,4.5,6-Dec,12,6,1.302937857,2.220264661,9.419941301,4.901980392,8.73196729,0.440065355,74.56666667,2.338888889,70.16666667,94.5,85.35714286,0.281111111,TRUE,12,Farm 12,8/20/2016,7:05pm,4,4,4,3,3,4,4,3,3,3,3.5,Free,Good,Good,not_applicable,8,6,3/19/2016,6:15/no answer,Bailee,Misael Tiscareno,3600,73 lbs/day,2 times,Normal,I,intermediate,Y; Flamed,yes,corn silage; corn; alfalfa; cotton seed; protein mix; wheat silage,Y,Y,Chlorine dioxide; Dip application,Chlorine dioxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,No answer,Freestall (some open lots),Sand (fresh and recycled); Dried; Never discarded,2 times/day or more often; flushed 6 times/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually and automatically,Y,Y,N,N,N,N,"18,000 gallons; 3 bulk tanks",Laundered; No,Laundered,"Every 800 cows, 2.5 hours",NA
581,14,6,SP TSC,2,3,2.5,14-6,14,6,1.400680107,2.097288499,9.733838865,4.304482713,8.247994409,0.435023809,74.87619048,2.147619048,72.95238095,94.85714286,87.17647059,0.285714286,TRUE,14,Farm 14,8/20/2016,8:40pm,2,2,2,2,2,3,3,2,3,2,2.3,Free,Good,Good,not_applicable,8,6,3/19/2016,8:00/no answer,Bailee,Pete Schouten,720,76-80 lbs/day,3 times,Normal,I,intermediate,N,no,corn; beet pulp; canola; cottonseed; corn silage; alfalfa; coastal; green chop,Y,N,Iodine glycerine; Other: Foam application,Iodine glycerine,foam,Iodine glycerine; Other: Foam application,Iodine glycerine,foam,Y,Y,No answer,Freestall (95%),Sand,1 time/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually,Y,Y,N,N,N,N,6000 gallons; 2 bulk tanks,Laundered; Yes,Laundered,"Every shift, every 6 hours",NA
582,15,6,SP TSC,6,17,11.5,15-6,15,6,0.931716286,3.303461388,4.820590756,4.810702354,1.527525232,0.268576494,77.08571429,7.157142857,28.71428571,88.14285714,61.66666667,0.31,TRUE,15,Farm 15,8/19/2016,11:00pm,4,4,4,4,4,4,4,4,4,4,4,non-Free,not_applicable,not_applicable,Yes,8,6,3/16/2016,1:15 pm/1:48 pm,Bailee,Jason Veldi,2500,70-72 lbs/day,2 times,Normal,N,no,N,no,corn silage; alfalfa; corn gluten; gluten corn; basic mineral; sorghum silage,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y; Last,Y,Y,Dry Lot,N/A,N/A,Well water,3.5,3,0-24h,2 weeks ago,Y; Automatically,Y,Y,N,N,N,N,"112,000 lbs; 2 bulk tanks",Laundered; No,Laundered,"After every pen, 2 filters 350 cows, 1 hr 20 mins",NA
583,16,6,SP TSC,12,15,13.5,16-6,16,6,3.513972111,2.649905659,6.519202405,2.949576241,NA,0.243378991,69.36,9.38,50,94.8,74,0.125,TRUE,16,Farm 16,8/20/2016,11:44am,4,4,3,3,3,3,4,3,2,4,3.3,non-Free,not_applicable,not_applicable,No,8,6,3/17/2016,8:45 am/no answer,Bailee,Ron Welper,5924,69 lbs/day,2 times,Normal,Y,yes,Y; Flamed,yes,corn silage; canola mill; wheat silage; earlage; corn gluten,Y,N,Express Chlorine dioxide; Lactic acid; Spray application,Express Chlorine dioxide\Lactic acid,spray,Express Lactic Acid; Dip application,Express Lactic Acid,dip,Y; Separately,Y,No answer,Dry Lot,N/A,N/A,Well water,7,2,0-24h,A week ago,N,Y,Y,N,N,N,N,"147,000 lbs; 3 bulk tanks",Laundered; Yes,Laundered,"""text for answer"" ",NA
584,17,6,SP TSC,7,20,13.5,17-6,17,6,1.135781669,3.047950131,1.892969449,8.139410298,NA,0,68.85,10.65,44.25,92.75,68,0,FALSE,17,Farm 17,8/20/2016,2:06am,2,2,3,1,3,2,4,4,2,2,2.5,non-Free,not_applicable,not_applicable,No,8,6,3/16/2016,4:30 pm/no answer,Bailee,Matthew Beckerink,1700,85 lbs/day,3 times,Normal,N,no,N,no,corn silage; sorghum silage; triticale silage; sugar beets; corn; DDG; canola; cotton seed; corn gluten,Y,Y,Chlorine dioxide; Dip application,Chlorine dioxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,No answer,Dry Lot,N/A,N/A,Well water,6,6,0-24h,2 weeks ago,Y; Automatically,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",None,None,"Every group, every 1 hour",NA
585,21,6,SP TSC,5,4,4.5,21-6,21,6,1.481744467,2.019059187,5.054041287,4.623490745,5.629429473,0.389365724,78.016,5.608,29.72,91.28,63.76190476,0.3784,TRUE,21,Farm 21,8/19/2016,11:25pm,3,4,4,3,3,4,4,4,4,4,3.7,Free,Good,Good,not_applicable,8,6,3/15/2016,4:40 pm/no answer,Bailee,Mick Schouten,4000,"22,000 lbs",intermediate,Normal,Y,yes,N,no,TMR corn silage; wheat silage; alfalfa; cotton seed; corn; soy bean mill; corn; gluten,Y,N,Chlorine/water; Dip application,Chlorine/water,dip,Iodine; Dip application,Iodine,dip,Y; Separately,Y,No answer,Freestall (80%); Dry Lot (20%),Sand; From dried basins; No answer,2 times/day or more often,Ogalala aquifer wells,7,1,0-24h,No answer,Y; Automatically,Y,Y,N,N,N,N,"200,000 lbs; 4 bulk tanks",Laundered (not dried); Yes,Laundered,1.5-2 hours,NA
586,22,6,SP TSC,20,15,17.5,22-6,22,6,0.544893651,4.023453966,10.80235665,13.60347549,15.53739728,0.004045199,68.29090909,6.772727273,42.90909091,89.63636364,68.375,0.001818182,TRUE,22,Farm 22,8/20/2016,1:05am,4,4,4,4,4,3,3,4,4,4,3.8,non-Free,not_applicable,not_applicable,No,8,6,3/16/2016,3:00 pm/no answer,Bailee,Koen Ally,1560,74 lbs/day,2 times,No answer,I; majority,intermediate,I; Flamed,intermediate,corn silage; wheatlage; alfalfa; corn; DDG; canola; cottonseed; molasses w/ mineral package; whey,Y,N,Iodine; Dip application,Iodine,dip,Iodine; Dip application,Iodine,dip,Y; Separately,Y,Y,Dry Lot,N/A,N/A,Well water; aquifer,1,3,0-24h,"""look it up""",I; As neeed,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",None,None,"""text for answer"" ",NA
587,23,6,SP TSC,6,2,4,23-6,23,6,1.025670512,5.40629263,14.95994652,19.95745475,26.87005769,0,68.72,8.54,37.6,84.4,49,0,FALSE,23,Farm 23,8/20/2016,2:30am,2,2,3,3,3,4,3,3,3,4,3,non-Free,not_applicable,not_applicable,No,8,6,3/17/2016,10:20 am/ no answer,Bailee,Joe Torres,3400,70 lbs/day,intermediate,Normal,Y,yes,Y; Flamed,yes,corn silage; canola; corn gluten; DDG minerals; corn; cotton seed,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y,Y,N,Dry Lot (open),N/A,N/A,Well water,3.5,8,0-24h,N/A; last October,Y; Manually,Y,Y,Y,Y,N,Y; No answer; No answer; No answer,"24,000 gallons; 3 bulk tanks",Laundered; Yes,Laundered,"Every 2 pens, every 2 hours",NA
588,25,6,SP TSC,7,6,6.5,25-6,25,6,3.129607714,3.142893218,2.223610677,5.651941653,1.048808848,0,67.82222222,8.455555556,44.22222222,92.22222222,68.5,0,FALSE,25,Farm 25,8/20/2016,1:33am,2,2,2,1,2,2,1,2,1,2,1.7,non-Free,not_applicable,not_applicable,No,8,6,3/17/2016,1:40 pm/no answer,Bailee,Mondo Vazquez/Jeremy,3400,73-75 lbs/day,2 times,Normal,N,no,Y; Flamed,yes,corn gluten; corn silage; DDG; triticale; soy hulls; minerals,Y,N,Iodine; Dip application,Iodine,dip,Iodine; Dip application,Iodine,dip,Y,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,N/A,Y; Manually,Y; sprinklers,Y,I,N,N,Y; Sprinklers spray-up; Prior to milking; No drying mechanism,"150,000 lbs; 3 bulk tanks",Laundered; Yes,Laundered,"Every 2 pens, every 1 hr 40 min",NA
589,26,6,SP TSC,3,4,3.5,26-6,26,6,0.544893651,4.023453966,10.80235665,13.60347549,15.53739728,0.004045199,68.29090909,6.772727273,42.90909091,89.63636364,68.375,0.001818182,TRUE,26,Farm 26,8/20/2016,12:45am,3,4,3,2,2,3,2,2,2,3,2.6,non-Free,not_applicable,not_applicable,No,8,6,3/16/2016,2:30 pm/ 2:50,Bailee,Carl Bromlow,5000,"22,000 lbs",intermediate,Normal,I; 50/50,intermediate,Y; Flamed,yes,corn silage; triticale; sorghum silage; corn; sweet bran; beet pulp; canola,Y,Y,Express 3; Lactic Acid; LDBSA; Dip application,Express 3\Lactic Acid\LDBSA,dip,Express 3; Lactic Acid; Chore Mate; Dip Application,Express 3\ Lactic Acid\ Chore Mate,dip,Y,Y,Y,Dry Lot,N/A,N/A,Well water,7,3,0-24h,2 weeks ago,Y; Manually,Y,Y,N,N,N,N,"165,000 lbs; 3 bulk tanks",Laundered; No,Laundered,45 min; every pen,NA
590,27,6,SP TSC,10,8,9,27-6,27,6,0.544893651,4.023453966,10.80235665,13.60347549,15.53739728,0.004045199,68.29090909,6.772727273,42.90909091,89.63636364,68.375,0.001818182,TRUE,27,Farm 27,8/20/2016,12:20am,3,3,4,3,2,2,2,4,3,2,2.8,non-Free,not_applicable,not_applicable,No,8,6,3/17/2016,12:10 pm/ no answer,Bailee,Georgianna Carroll,2349,71.5 lbs/day,3 times,Normal,I,intermediate,Y; Flamed,yes,"corn; corn gluten; canola, cotton seed; DDG; alfalfa; corn silage; wheat silage",Y,N,Iodine; Spray application,Iodine,spray,Iodine; Spray application,Iodine,spray,Y; Separately,Y,Y,Dry Lot,N/A,N/A,Well water,7,6,0-24h,N/A,Y; Manually,Y,Y,N,N,N,N,"108,000 lbs; 2 bulk tanks",Laundered; No,Laundered,45 min; every pen,NA
591,28,6,SP TSC,6,5,5.5,28-6,28,6,2.569565463,4.644423179,14.71960144,17.96292478,31.11269837,0.004472136,69.66666667,8.166666667,40.66666667,85.66666667,52,0.002,TRUE,28,Farm 28,8/20/2016,3:15am,4,3,3,3,3,4,2,4,2,3,3.1,non-Free,not_applicable,not_applicable,No,8,6,3/17/2016,3:00/no answer,Bailee,Zachary Vanderham,4200,73 lbs,2 times,Normal,N,no,Y; Flamed,yes,alfalfa silage; corn silage; wheat silage; corn; cotton seed; canola; DDG; soy bean mill; soy hulls; wheat straw; energy; minerals,Y,N,Peroxide; Dip application,Peroxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,N/A,0-24h,No answer,Y; Manually,Y,Y,N,Y,N,Y; Sprinklers spray-up; Prior to milking; No drying mechanism,"21,000 gallons; 3 bulk tanks",Laundered; No,Laundered,Every 2 hours,NA
592,29,6,SP TSC,7,6,6.5,29-6,29,6,2.569565463,4.644423179,14.71960144,17.96292478,31.11269837,0.004472136,69.66666667,8.166666667,40.66666667,85.66666667,52,0.002,TRUE,29,Farm 29,8/20/2016,3:38am,4,3,3,2,4,4,4,3,2,3,3.2,non-Free,not_applicable,not_applicable,No,8,6,3/17/2016,3:00/no answer,Bailee,Zachary Vanderham,1800,73 lbs,2 times,Normal,N,no,Y; Flamed,yes,alfalfa; corn silage; wheat silage; corn; cotton seed; canola; DDG; soy bean mill; soy hulls; wheat straw; energy minerals,Y,N,Peroxide; Dip application,Peroxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,N/A,0-24h,No answer,Y; Manually,Y,Y,N,Y,N,Y; Sprinklers spray-up; Prior to milking; No drying mechanism,"21,000 gallons; 3 bulk tanks",Laundered; No,Laundered,Every 2 hours,NA
